UniProt_Accession,Gene_Name,GO_Identifier,GO_Term,Protein_Name,Synonyms,Confidence_Level,MC_PMID
O75116,ROCK2,GO:1905145|GO:0016525|GO:1902993|GO:0005198|GO:0051492|GO:0030866|GO:0051246|GO:0003723|GO:0005829|GO:0010613|GO:0070168|GO:0032723|GO:2000114|GO:0045616|GO:0003180|GO:0007186|GO:0031032|GO:1902004|GO:1902961|GO:0007266|GO:0004674|GO:0005886|GO:0045019|GO:1902966|GO:0050321|GO:0005634|GO:0010629|GO:0048010|GO:0051893|GO:0005515|GO:0032956|GO:0046872|GO:0051298|GO:0051496|GO:1990776|GO:0010628|GO:0035509|GO:0010825|GO:0048013|GO:0018105|GO:0018107|GO:0072659|GO:0030335|GO:0061157|GO:1903140|GO:1900037|GO:1903347|GO:1905205|GO:0006468|GO:0042752|GO:1901888|GO:0090271|GO:0071394|GO:0005524|GO:0002931|GO:0006939|GO:0000281|GO:0097746|GO:0010595|GO:0017049|GO:0071559|GO:0036464|GO:0039694|GO:0150033|GO:0043410|GO:0110061|GO:0007249|GO:0005813|GO:0005856|GO:0048511|GO:0005737|GO:0048598|GO:0001934|GO:0048156|GO:2000145|GO:0030155|GO:0031644|GO:0072518,cellular response to acetylcholine|negative regulation of angiogenesis|positive regulation of amyloid precursor protein catabolic process|structural molecule activity|regulation of stress fiber assembly|cortical actin cytoskeleton organization|regulation of protein metabolic process|RNA binding|cytosol|positive regulation of cardiac muscle hypertrophy|negative regulation of biomineral tissue development|positive regulation of connective tissue growth factor production|regulation of establishment of cell polarity|regulation of keratinocyte differentiation|aortic valve morphogenesis|G protein-coupled receptor signaling pathway|actomyosin structure organization|positive regulation of amyloid-beta formation|positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process|Rho protein signal transduction|protein serine/threonine kinase activity|plasma membrane|negative regulation of nitric oxide biosynthetic process|positive regulation of protein localization to early endosome|tau-protein kinase activity|nucleus|negative regulation of gene expression|vascular endothelial growth factor receptor signaling pathway|regulation of focal adhesion assembly|protein binding|regulation of actin cytoskeleton organization|metal ion binding|centrosome duplication|positive regulation of stress fiber assembly|response to angiotensin|positive regulation of gene expression|negative regulation of myosin-light-chain-phosphatase activity|positive regulation of centrosome duplication|ephrin receptor signaling pathway|peptidyl-serine phosphorylation|peptidyl-threonine phosphorylation|protein localization to plasma membrane|positive regulation of cell migration|mRNA destabilization|regulation of establishment of endothelial barrier|regulation of cellular response to hypoxia|negative regulation of bicellular tight junction assembly|positive regulation of connective tissue replacement|protein phosphorylation|regulation of circadian rhythm|regulation of cell junction assembly|positive regulation of fibroblast growth factor production|cellular response to testosterone stimulus|ATP binding|response to ischemia|smooth muscle contraction|mitotic cytokinesis|regulation of blood vessel diameter|positive regulation of endothelial cell migration|GTP-Rho binding|response to transforming growth factor beta|cytoplasmic ribonucleoprotein granule|viral RNA genome replication|negative regulation of protein localization to lysosome|positive regulation of MAPK cascade|regulation of angiotensin-activated signaling pathway|I-kappaB kinase/NF-kappaB signaling|centrosome|cytoskeleton|rhythmic process|cytoplasm|embryonic morphogenesis|positive regulation of protein phosphorylation|tau protein binding|regulation of cell motility|regulation of cell adhesion|regulation of nervous system process|Rho-dependent protein serine/threonine kinase activity,Rho-associated protein kinase 2,KIAA0619,4,
O43242,PSMD3,GO:1902036|GO:0038095|GO:0042176|GO:0022624|GO:0043488|GO:0061418|GO:0008541|GO:0005576|GO:0043687|GO:0006521|GO:0002223|GO:0005654|GO:1904813|GO:0000165|GO:0002479|GO:0070062|GO:0050790|GO:0005829|GO:0060071|GO:0010972|GO:0050852|GO:0016579|GO:0055085|GO:1901990|GO:0000209|GO:0090263|GO:0038061|GO:0000502|GO:0043312|GO:0006511|GO:0090090|GO:0005634|GO:0033209|GO:0043161|GO:0005515|GO:0016020|GO:0031145|GO:0031146|GO:0034774|GO:0070498|GO:0030234,regulation of hematopoietic stem cell differentiation|Fc-epsilon receptor signaling pathway|regulation of protein catabolic process|proteasome accessory complex|regulation of mRNA stability|regulation of transcription from RNA polymerase II promoter in response to hypoxia|proteasome regulatory particle  lid subcomplex|extracellular region|post-translational protein modification|regulation of cellular amino acid metabolic process|stimulatory C-type lectin receptor signaling pathway|nucleoplasm|ficolin-1-rich granule lumen|MAPK cascade|antigen processing and presentation of exogenous peptide antigen via MHC class I  TAP-dependent|extracellular exosome|regulation of catalytic activity|cytosol|Wnt signaling pathway  planar cell polarity pathway|negative regulation of G2/M transition of mitotic cell cycle|T cell receptor signaling pathway|protein deubiquitination|transmembrane transport|regulation of mitotic cell cycle phase transition|protein polyubiquitination|positive regulation of canonical Wnt signaling pathway|NIK/NF-kappaB signaling|proteasome complex|neutrophil degranulation|ubiquitin-dependent protein catabolic process|negative regulation of canonical Wnt signaling pathway|nucleus|tumor necrosis factor-mediated signaling pathway|proteasome-mediated ubiquitin-dependent protein catabolic process|protein binding|membrane|anaphase-promoting complex-dependent catabolic process|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|secretory granule lumen|interleukin-1-mediated signaling pathway|enzyme regulator activity,26S proteasome non-ATPase regulatory subunit 3,,4,
Q14807,KIF22,GO:0016887|GO:0006281|GO:0007062|GO:0006890|GO:0016607|GO:0005871|GO:0000776|GO:0007018|GO:0000785|GO:0000278|GO:0008017|GO:0005874|GO:0003677|GO:0005524|GO:0005623|GO:0005634|GO:0051310|GO:0003777|GO:0005515|GO:0072686|GO:0005829|GO:0007080|GO:0019886,ATPase activity|DNA repair|sister chromatid cohesion|retrograde vesicle-mediated transport  Golgi to endoplasmic reticulum|nuclear speck|kinesin complex|kinetochore|microtubule-based movement|chromatin|mitotic cell cycle|microtubule binding|microtubule|DNA binding|ATP binding|cell|nucleus|metaphase plate congression|microtubule motor activity|protein binding|mitotic spindle|cytosol|mitotic metaphase plate congression|antigen processing and presentation of exogenous peptide antigen via MHC class II,Kinesin-like protein KIF22,KID|KNSL4,3,
P20585,MSH3,GO:0016447|GO:0006281|GO:0007131|GO:0000735|GO:0051096|GO:0000710|GO:0005654|GO:0003697|GO:0005524|GO:0043570|GO:0032300|GO:0030983|GO:0032302|GO:0008094|GO:0032181|GO:0032142|GO:0043111|GO:0006298|GO:0006312|GO:0045910|GO:0005634|GO:0005515|GO:0016020|GO:0032135|GO:0032139|GO:0019899,somatic recombination of immunoglobulin gene segments|DNA repair|reciprocal meiotic recombination|removal of nonhomologous ends|positive regulation of helicase activity|meiotic mismatch repair|nucleoplasm|single-stranded DNA binding|ATP binding|maintenance of DNA repeat elements|mismatch repair complex|mismatched DNA binding|MutSbeta complex|DNA-dependent ATPase activity|dinucleotide repeat insertion binding|single guanine insertion binding|replication fork arrest|mismatch repair|mitotic recombination|negative regulation of DNA recombination|nucleus|protein binding|membrane|DNA insertion or deletion binding|dinucleotide insertion or deletion binding|enzyme binding,DNA mismatch repair protein Msh3,DUC1|DUG,4,
Q9H2G2,SLK,GO:0042802|GO:0042803|GO:0031252|GO:0031098|GO:0046777|GO:0042981|GO:0004674|GO:0023014|GO:0007346|GO:0005524|GO:0051893|GO:0005515|GO:0048471|GO:0070062|GO:0005737|GO:0045296|GO:0006915|GO:0032147|GO:0031122|GO:0030334,identical protein binding|protein homodimerization activity|cell leading edge|stress-activated protein kinase signaling cascade|protein autophosphorylation|regulation of apoptotic process|protein serine/threonine kinase activity|signal transduction by protein phosphorylation|regulation of mitotic cell cycle|ATP binding|regulation of focal adhesion assembly|protein binding|perinuclear region of cytoplasm|extracellular exosome|cytoplasm|cadherin binding|apoptotic process|activation of protein kinase activity|cytoplasmic microtubule organization|regulation of cell migration,STE20-like serine/threonine-protein kinase,KIAA0204|STK2,4,
Q9UKG1,APPL1,GO:1905303|GO:0008286|GO:0007179|GO:0044354|GO:0043422|GO:0097192|GO:1900017|GO:0044877|GO:0048023|GO:0001786|GO:0005769|GO:0032009|GO:0005768|GO:0070062|GO:0048487|GO:0001726|GO:0005829|GO:0031410|GO:0033211|GO:0097708|GO:1903076|GO:0042802|GO:0042803|GO:1905450|GO:0007165|GO:0034143|GO:0035091|GO:0046326|GO:0046324|GO:0005886|GO:0007049|GO:0031901|GO:0005634|GO:0005515|GO:0005737|GO:0006606|GO:0012506|GO:0035729|GO:0016020|GO:0045088|GO:0023052|GO:0010008|GO:2000045|GO:0010762,positive regulation of macropinocytosis|insulin receptor signaling pathway|transforming growth factor beta receptor signaling pathway|macropinosome|protein kinase B binding|extrinsic apoptotic signaling pathway in absence of ligand|positive regulation of cytokine production involved in inflammatory response|protein-containing complex binding|positive regulation of melanin biosynthetic process|phosphatidylserine binding|early endosome|early phagosome|endosome|extracellular exosome|beta-tubulin binding|ruffle|cytosol|cytoplasmic vesicle|adiponectin-activated signaling pathway|intracellular vesicle|regulation of protein localization to plasma membrane|identical protein binding|protein homodimerization activity|negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis|signal transduction|regulation of toll-like receptor 4 signaling pathway|phosphatidylinositol binding|positive regulation of glucose import|regulation of glucose import|plasma membrane|cell cycle|early endosome membrane|nucleus|protein binding|cytoplasm|protein import into nucleus|vesicle membrane|cellular response to hepatocyte growth factor stimulus|membrane|regulation of innate immune response|signaling|endosome membrane|regulation of G1/S transition of mitotic cell cycle|regulation of fibroblast migration,DCC-interacting protein 13-alpha,APPL|DIP13A|KIAA1428,4,
P22301,IL10,GO:0042536|GO:0032692|GO:0007253|GO:1904057|GO:0051091|GO:1903208|GO:0002237|GO:0002875|GO:0045893|GO:0051045|GO:0043032|GO:0071650|GO:0050715|GO:0034465|GO:0032689|GO:0014854|GO:0032800|GO:0032720|GO:0030183|GO:0050807|GO:0050728|GO:0060670|GO:0042100|GO:0045930|GO:0046983|GO:0005125|GO:1904706|GO:0042742|GO:0045019|GO:0046427|GO:0032715|GO:0005515|GO:0010507|GO:0032717|GO:0010468|GO:0014823|GO:0072577|GO:0008083|GO:0008285|GO:0030097|GO:0045347|GO:0045787|GO:1902895|GO:0005576|GO:0060302|GO:0045348|GO:0002740|GO:0042832|GO:0043524|GO:0071392|GO:0097421|GO:0030889|GO:0032868|GO:1904707|GO:0019221|GO:0051384|GO:0045191|GO:0032701|GO:0030886|GO:0005141|GO:1903034|GO:1903672|GO:0045355|GO:0007568|GO:0042092|GO:0005615|GO:0071222|GO:0035729|GO:0042130|GO:0043066|GO:0034116|GO:0002904|GO:0034115|GO:0001938|GO:0030595|GO:0032695|GO:0001818|GO:0035722,negative regulation of tumor necrosis factor biosynthetic process|negative regulation of interleukin-1 production|cytoplasmic sequestering of NF-kappaB|negative regulation of sensory perception of pain|positive regulation of DNA-binding transcription factor activity|negative regulation of hydrogen peroxide-induced neuron death|response to molecule of bacterial origin|negative regulation of chronic inflammatory response to antigenic stimulus|positive regulation of transcription  DNA-templated|negative regulation of membrane protein ectodomain proteolysis|positive regulation of macrophage activation|negative regulation of chemokine (C-C motif) ligand 5 production|positive regulation of cytokine secretion|response to carbon monoxide|negative regulation of interferon-gamma production|response to inactivity|receptor biosynthetic process|negative regulation of tumor necrosis factor production|B cell differentiation|regulation of synapse organization|negative regulation of inflammatory response|branching involved in labyrinthine layer morphogenesis|B cell proliferation|negative regulation of mitotic cell cycle|protein dimerization activity|cytokine activity|negative regulation of vascular smooth muscle cell proliferation|defense response to bacterium|negative regulation of nitric oxide biosynthetic process|positive regulation of receptor signaling pathway via JAK-STAT|negative regulation of interleukin-6 production|protein binding|negative regulation of autophagy|negative regulation of interleukin-8 production|regulation of gene expression|response to activity|endothelial cell apoptotic process|growth factor activity|negative regulation of cell population proliferation|hemopoiesis|negative regulation of MHC class II biosynthetic process|positive regulation of cell cycle|positive regulation of pri-miRNA transcription by RNA polymerase II|extracellular region|negative regulation of cytokine activity|positive regulation of MHC class II biosynthetic process|negative regulation of cytokine secretion involved in immune response|defense response to protozoan|negative regulation of neuron apoptotic process|cellular response to estradiol stimulus|liver regeneration|negative regulation of B cell proliferation|response to insulin|positive regulation of vascular smooth muscle cell proliferation|cytokine-mediated signaling pathway|response to glucocorticoid|regulation of isotype switching|negative regulation of interleukin-18 production|negative regulation of myeloid dendritic cell activation|interleukin-10 receptor binding|regulation of response to wounding|positive regulation of sprouting angiogenesis|negative regulation of interferon-alpha biosynthetic process|aging|type 2 immune response|extracellular space|cellular response to lipopolysaccharide|cellular response to hepatocyte growth factor stimulus|negative regulation of T cell proliferation|negative regulation of apoptotic process|positive regulation of heterotypic cell-cell adhesion|positive regulation of B cell apoptotic process|negative regulation of heterotypic cell-cell adhesion|positive regulation of endothelial cell proliferation|leukocyte chemotaxis|negative regulation of interleukin-12 production|negative regulation of cytokine production|interleukin-12-mediated signaling pathway,Interleukin-10,,4,
Q9UKE5,TNIK,GO:0007010|GO:0099092|GO:0007256|GO:0048812|GO:0046777|GO:0006468|GO:0023014|GO:0048814|GO:0005654|GO:0005524|GO:0098793|GO:0070062|GO:0005829|GO:0016055|GO:0032147|GO:0098978|GO:0031532|GO:0035556|GO:0031098|GO:0004672|GO:0004674|GO:0007346|GO:0005634|GO:0005515|GO:0005856|GO:0005737|GO:0001934|GO:0030033|GO:0055037|GO:0016324|GO:0072659,cytoskeleton organization|postsynaptic density  intracellular component|activation of JNKK activity|neuron projection morphogenesis|protein autophosphorylation|protein phosphorylation|signal transduction by protein phosphorylation|regulation of dendrite morphogenesis|nucleoplasm|ATP binding|presynapse|extracellular exosome|cytosol|Wnt signaling pathway|activation of protein kinase activity|glutamatergic synapse|actin cytoskeleton reorganization|intracellular signal transduction|stress-activated protein kinase signaling cascade|protein kinase activity|protein serine/threonine kinase activity|regulation of mitotic cell cycle|nucleus|protein binding|cytoskeleton|cytoplasm|positive regulation of protein phosphorylation|microvillus assembly|recycling endosome|apical plasma membrane|protein localization to plasma membrane,TRAF2 and NCK-interacting protein kinase,KIAA0551,4,
Q9UQ88,   CDK11A,GO:0006355|GO:0004672|GO:0004693|GO:0004674|GO:0006468|GO:0000278|GO:0007346|GO:0005524|GO:0005634|GO:0050684|GO:0001558|GO:0005737|GO:0006915|GO:0010468,regulation of transcription  DNA-templated|protein kinase activity|cyclin-dependent protein serine/threonine kinase activity|protein serine/threonine kinase activity|protein phosphorylation|mitotic cell cycle|regulation of mitotic cell cycle|ATP binding|nucleus|regulation of mRNA processing|regulation of cell growth|cytoplasm|apoptotic process|regulation of gene expression,Cyclin-dependent kinase 11A,CDC2L2|CDC2L3|PITSLREB,3,
Q9H4H8,FAM83D,GO:0008283|GO:0019901|GO:0015630|GO:1902480|GO:0007165|GO:0042176|GO:0008017|GO:0051301|GO:0005623|GO:0070372|GO:0045171|GO:0051310|GO:0005515|GO:0097431|GO:0072686|GO:0005737|GO:1902808|GO:0019894|GO:0001837|GO:0005829|GO:0016477|GO:0032006,cell population proliferation|protein kinase binding|microtubule cytoskeleton|protein localization to mitotic spindle|signal transduction|regulation of protein catabolic process|microtubule binding|cell division|cell|regulation of ERK1 and ERK2 cascade|intercellular bridge|metaphase plate congression|protein binding|mitotic spindle pole|mitotic spindle|cytoplasm|positive regulation of cell cycle G1/S phase transition|kinesin binding|epithelial to mesenchymal transition|cytosol|cell migration|regulation of TOR signaling,Protein FAM83D,C20orf129,4,
Q9NPI1,BRD7,GO:0035066|GO:0008285|GO:1901796|GO:0000976|GO:0008134|GO:0007049|GO:0005654|GO:0006357|GO:0005634|GO:0002039|GO:0005515|GO:0003713|GO:0045892|GO:0003714|GO:0005737|GO:0042393|GO:0045893|GO:0070577|GO:0005829|GO:0016055|GO:2000134,positive regulation of histone acetylation|negative regulation of cell population proliferation|regulation of signal transduction by p53 class mediator|transcription regulatory region sequence-specific DNA binding|transcription factor binding|cell cycle|nucleoplasm|regulation of transcription by RNA polymerase II|nucleus|p53 binding|protein binding|transcription coactivator activity|negative regulation of transcription  DNA-templated|transcription corepressor activity|cytoplasm|histone binding|positive regulation of transcription  DNA-templated|lysine-acetylated histone binding|cytosol|Wnt signaling pathway|negative regulation of G1/S transition of mitotic cell cycle,Bromodomain-containing protein 7,BP75|CELTIX1,3,
O43293,DAPK3,GO:0008140|GO:0008360|GO:0016605|GO:0008022|GO:0046777|GO:0097190|GO:0006325|GO:0006468|GO:0043522|GO:0005654|GO:0006940|GO:0005524|GO:0006915|GO:0017048|GO:0017148|GO:0035556|GO:0042802|GO:2001241|GO:0042803|GO:0007088|GO:0030182|GO:0043519|GO:0090263|GO:0006355|GO:0042981|GO:0004674|GO:0005884|GO:0007346|GO:0005634|GO:0051893|GO:0005515|GO:0005737|GO:0010506|GO:0043065|GO:0045121|GO:2000145|GO:0071346|GO:2000249|GO:0030335,cAMP response element binding protein binding|regulation of cell shape|PML body|protein C-terminus binding|protein autophosphorylation|apoptotic signaling pathway|chromatin organization|protein phosphorylation|leucine zipper domain binding|nucleoplasm|regulation of smooth muscle contraction|ATP binding|apoptotic process|Rho GTPase binding|negative regulation of translation|intracellular signal transduction|identical protein binding|positive regulation of extrinsic apoptotic signaling pathway in absence of ligand|protein homodimerization activity|regulation of mitotic nuclear division|neuron differentiation|regulation of myosin II filament organization|positive regulation of canonical Wnt signaling pathway|regulation of transcription  DNA-templated|regulation of apoptotic process|protein serine/threonine kinase activity|actin filament|regulation of mitotic cell cycle|nucleus|regulation of focal adhesion assembly|protein binding|cytoplasm|regulation of autophagy|positive regulation of apoptotic process|membrane raft|regulation of cell motility|cellular response to interferon-gamma|regulation of actin cytoskeleton reorganization|positive regulation of cell migration,Death-associated protein kinase 3,ZIPK,4,
P30304,CDC25A,GO:0008283|GO:0016579|GO:0019901|GO:0009314|GO:0045931|GO:0000079|GO:0005654|GO:0110032|GO:0051301|GO:0004721|GO:0005634|GO:0000086|GO:0005515|GO:0004725|GO:0005737|GO:0000082|GO:0051087|GO:0034644|GO:0005829|GO:0051726|GO:0035335|GO:0010971,cell population proliferation|protein deubiquitination|protein kinase binding|response to radiation|positive regulation of mitotic cell cycle|regulation of cyclin-dependent protein serine/threonine kinase activity|nucleoplasm|positive regulation of G2/MI transition of meiotic cell cycle|cell division|phosphoprotein phosphatase activity|nucleus|G2/M transition of mitotic cell cycle|protein binding|protein tyrosine phosphatase activity|cytoplasm|G1/S transition of mitotic cell cycle|chaperone binding|cellular response to UV|cytosol|regulation of cell cycle|peptidyl-tyrosine dephosphorylation|positive regulation of G2/M transition of mitotic cell cycle,M-phase inducer phosphatase 1,,1,24102700
Q14141,SEPTIN6,GO:0061640|GO:0015630|GO:0032153|GO:0060271|GO:0032154|GO:0007283|GO:0008021|GO:0032173|GO:0000777|GO:0043679|GO:0005940|GO:0005525|GO:0005515|GO:0000281|GO:0097227|GO:0003924|GO:0005819|GO:0016032|GO:0030154|GO:0030496|GO:0031105|GO:0034613|GO:0060090,cytoskeleton-dependent cytokinesis|microtubule cytoskeleton|cell division site|cilium assembly|cleavage furrow|spermatogenesis|synaptic vesicle|septin collar|condensed chromosome kinetochore|axon terminus|septin ring|GTP binding|protein binding|mitotic cytokinesis|sperm annulus|GTPase activity|spindle|viral process|cell differentiation|midbody|septin complex|cellular protein localization|molecular adaptor activity,Septin-6,KIAA0128|2-Sep|SEPT6,4,
